ppm	mollisols	cambisol	acrisol
237.079	-5.19354E-05	-4.25757E-05	-1.64155E-06
213.782	-5.0204E-05	9.40787E-05	4.12837E-05
248.727	-4.95717E-05	-9.10838E-05	-7.38544E-05
200.435	-4.90867E-05	1.62923E-05	5.49757E-05
249.213	-4.85846E-05	-0.00010626	-6.89396E-05
235.865	-4.70609E-05	-8.08799E-05	4.69715E-06
214.753	-4.55456E-05	1.6327E-05	7.49769E-05
221.79	-4.40995E-05	0.000103399	4.14594E-05
212.326	-4.40215E-05	7.04114E-06	9.83843E-06
216.209	-4.33117E-05	0.000169127	9.61577E-05
236.836	-4.28701E-05	-6.48722E-05	6.49007E-07
210.142	-4.25754E-05	4.75108E-05	3.85777E-06
236.108	-4.25497E-05	-8.74112E-05	5.40105E-06
199.707	-4.14153E-05	-9.32319E-05	5.71487E-05
210.384	-4.132E-05	8.8535E-05	1.0368E-06
236.593	-4.04543E-05	-8.71686E-05	2.9745E-06
210.627	-4.00646E-05	0.000116253	-5.40463E-07
248.97	-3.9805E-05	-9.86723E-05	-7.3283E-05
236.351	-3.80384E-05	-8.72899E-05	4.72389E-06
208.2	-3.54409E-05	3.68736E-05	1.51726E-06
209.899	-3.53111E-05	6.48674E-06	7.25016E-06
214.025	-3.52331E-05	7.46406E-05	5.10958E-05
214.267	-3.42374E-05	5.52028E-05	6.04401E-05
214.51	-3.32417E-05	3.57649E-05	6.85392E-05
206.016	-3.02025E-05	0.000123461	6.36423E-05
208.443	-2.996E-05	1.76436E-05	4.20402E-06
221.548	-2.97696E-05	5.91527E-05	4.11775E-05
222.033	-2.92674E-05	0.000147645	3.94005E-05
209.656	-2.80465E-05	-1.58617E-05	1.03179E-05
207.958	-2.78993E-05	5.61036E-05	7.05062E-07
197.523	-2.74058E-05	8.85695E-05	2.86985E-05
210.87	-2.55095E-05	0.000143973	-6.02008E-07
208.686	-2.44792E-05	-1.5864E-06	7.64008E-06
199.464	-2.40809E-05	-8.50204E-05	5.585E-05
204.56	-2.38471E-05	5.88062E-05	4.7679E-05
197.765	-2.37865E-05	7.98728E-05	2.86285E-05
212.083	-2.2557E-05	2.78303E-05	8.63875E-06
216.451	-2.11196E-05	0.000178517	0.000100067
200.677	-2.08426E-05	6.24097E-05	5.27027E-05
209.414	-2.07819E-05	-3.821E-05	1.22009E-05
207.715	-2.03577E-05	7.11758E-05	2.58884E-06
191.213	-2.03404E-05	0.00019508	7.62618E-05
198.008	-2.01672E-05	7.11758E-05	3.06299E-05
208.928	-1.89983E-05	-2.08164E-05	1.06607E-05
224.945	-1.87732E-05	4.32836E-05	-8.81107E-05
197.28	-1.67557E-05	9.72661E-05	3.07879E-05
221.305	-1.54396E-05	3.36513E-05	3.90333E-05
222.276	-1.44352E-05	0.000178586	3.49064E-05
209.171	-1.35174E-05	-2.95132E-05	1.2339E-05
191.456	-1.19935E-05	0.000186798	7.23599E-05
199.221	-1.13181E-05	-7.6809E-05	5.32412E-05
211.113	-1.09545E-05	0.000131222	6.82488E-07
