#OTU ID	BC_1	BC_2	BC_3	BS_1	BS_2	BS_3	BT_1	BT_2	BT_3
ASV146	29	28	21	0	0	25	18	39	30
ASV147	0	0	0	0	0	0	0	0	0
ASV148	129	77	74	75	112	86	86	72	68
ASV149	0	0	0	0	0	0	0	0	0
ASV150	0	0	0	0	0	0	0	0	0
ASV152	0	0	0	0	0	0	0	0	0
ASV153	191	249	176	120	225	239	221	205	156
ASV154	0	13	0	0	0	0	0	0	21
ASV155	260	216	90	104	201	249	246	197	194
ASV156	0	0	0	0	0	0	0	0	0
ASV157	105	82	92	60	88	106	107	92	115
ASV158	0	0	0	0	0	0	0	0	0
ASV159	0	0	0	0	0	0	0	0	0
ASV160	0	0	0	0	0	0	0	0	0
ASV161	0	0	0	0	0	21	0	20	0
ASV162	158	226	237	180	179	207	189	173	160
ASV164	0	0	0	0	0	0	0	0	0
ASV163	194	204	146	127	157	133	195	119	184
ASV165	113	92	109	168	308	167	158	246	163
ASV166	87	346	53	0	174	39	72	87	128
ASV167	183	142	113	106	62	149	211	63	107
ASV168	0	0	0	0	0	0	0	0	0
ASV169	132	91	103	119	139	129	115	94	134
ASV170	0	0	0	0	0	0	0	0	0
ASV171	0	0	0	0	0	0	0	81	0
ASV172	121	56	0	0	201	61	64	265	84
ASV173	111	47	166	167	193	96	83	113	115
ASV174	0	0	0	0	0	0	0	0	0
ASV175	0	0	0	0	0	0	0	0	0
ASV176	0	0	0	0	0	0	52	25	30
ASV177	239	215	108	105	213	149	221	193	171
ASV178	171	172	83	74	243	212	194	141	144
ASV179	0	0	0	0	0	0	0	0	0
ASV180	0	0	0	0	0	0	0	0	0
ASV181	0	0	0	0	0	0	0	0	0
ASV182	160	201	207	186	148	184	189	153	160
ASV183	0	0	84	76	80	29	0	76	76
ASV184	0	0	0	0	0	0	0	0	0
ASV185	0	0	0	0	0	0	0	0	0
ASV186	0	0	0	0	0	0	0	0	0
ASV187	119	101	346	324	122	157	116	153	132
ASV188	71	59	71	41	76	0	31	61	57
ASV189	135	158	147	149	175	154	164	221	165
ASV190	89	107	67	48	86	88	92	59	77
ASV191	0	0	0	0	0	0	0	0	0
ASV192	0	0	0	0	0	0	0	0	0
ASV193	159	229	174	222	164	152	159	104	128
ASV194	0	0	0	0	0	0	0	0	0
ASV195	99	0	74	48	101	0	106	172	70
ASV196	0	0	0	0	0	0	0	0	0
ASV197	172	209	50	36	219	190	221	241	166
ASV199	0	0	0	0	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	0	0
ASV201	0	0	0	0	0	0	0	0	0
ASV202	0	0	0	0	0	0	0	0	0
ASV203	133	174	83	99	178	174	193	133	130
ASV204	0	0	0	0	0	0	0	0	0
ASV205	0	0	0	0	0	0	0	0	0
ASV206	23	35	2	6	13	40	33	8	11
ASV207	134	113	39	0	28	14	119	94	44
ASV208	0	0	0	0	0	0	0	0	0
ASV209	130	71	190	329	70	123	156	120	184
ASV210	66	56	31	20	0	52	47	43	38
ASV211	81	79	28	38	102	95	74	70	64
ASV212	0	0	0	0	0	0	0	0	0
ASV213	121	195	141	144	187	169	144	160	149
ASV214	84	95	106	153	146	104	79	71	98
ASV215	0	0	0	0	0	0	0	0	0
ASV216	169	148	205	222	85	127	250	81	112
ASV217	133	154	213	180	131	126	176	117	163
ASV218	109	134	229	224	117	128	168	150	131
ASV219	32	29	0	0	0	21	65	0	77
ASV220	0	0	0	0	0	0	0	0	0
ASV221	189	177	144	117	91	199	141	188	135
ASV222	76	93	0	0	85	125	104	0	62
ASV223	0	0	0	0	0	0	0	0	0
ASV224	135	150	126	180	163	147	159	155	161
ASV225	121	146	134	205	188	139	116	189	133
ASV226	0	0	0	0	0	0	0	0	0
ASV227	0	0	0	0	0	0	0	0	0
ASV228	80	64	302	292	60	83	109	217	153
ASV229	0	0	0	0	0	0	0	0	0
ASV230	0	0	0	0	0	0	0	0	0
ASV231	0	0	0	0	0	0	0	0	0
ASV232	0	0	0	0	0	33	0	25	0
ASV234	105	122	74	76	220	128	147	146	155
ASV235	147	149	142	215	170	135	113	144	117
ASV236	0	0	0	0	0	0	0	0	0
ASV237	33	12	35	179	0	0	10	38	50
ASV239	0	0	0	0	0	0	0	0	0
ASV240	161	131	101	37	192	250	107	167	170
ASV242	84	68	77	97	70	101	63	65	59
ASV243	81	43	116	71	47	58	84	90	66
ASV244	0	0	0	0	0	0	0	0	0
ASV245	0	0	0	0	0	0	0	0	0
ASV246	0	0	0	0	0	0	0	0	0
ASV247	0	0	0	0	0	0	0	0	0
ASV248	0	0	0	0	0	0	0	0	0
ASV249	121	92	119	135	126	122	97	154	131
ASV250	0	0	0	0	0	0	0	0	0
ASV251	0	0	0	0	0	0	0	0	0
ASV252	0	0	0	0	0	0	0	0	0
ASV254	0	0	0	0	0	0	0	0	0
ASV253	203	166	32	0	269	103	128	224	156
ASV255	98	144	197	271	128	114	134	96	84
ASV256	0	0	0	0	0	0	0	0	0
ASV257	0	0	0	0	0	0	0	0	0
ASV258	0	0	0	0	0	0	0	0	0
ASV259	0	0	0	0	0	0	0	0	0
ASV260	138	115	192	247	102	87	85	149	119
ASV261	0	103	221	47	6	14	9	18	55
ASV262	165	161	66	57	71	300	228	54	119
ASV263	0	0	0	0	0	0	0	0	0
ASV264	0	0	0	0	0	0	0	0	0
ASV265	0	0	0	0	0	0	0	0	0
ASV267	0	0	0	0	0	0	0	0	0
ASV268	54	47	43	41	84	52	30	61	26
ASV269	0	0	0	0	0	0	0	0	0
ASV270	0	0	0	0	0	0	0	0	0
ASV271	0	0	272	54	0	70	0	0	60
ASV272	133	141	56	69	156	135	134	75	103
ASV273	0	0	0	0	0	0	0	0	0
ASV274	0	0	0	0	0	0	0	0	0
ASV275	97	123	134	125	147	134	137	145	118
ASV276	0	0	0	0	0	0	0	0	0
ASV277	0	0	0	0	0	0	0	0	0
ASV278	0	0	0	0	0	0	0	0	0
ASV279	66	51	54	69	56	50	57	67	55
ASV280	0	0	0	0	0	0	0	0	0
ASV281	0	0	0	0	0	0	0	0	0
ASV282	89	207	54	43	142	191	137	179	110
ASV284	0	0	0	0	0	0	0	0	0
ASV283	0	0	0	0	0	0	0	0	0
ASV285	120	105	80	197	122	89	151	180	105
ASV286	128	147	59	48	272	82	108	137	144
ASV287	0	0	0	0	0	0	0	0	0
ASV288	0	0	0	0	0	19	0	0	0
ASV289	107	150	201	162	61	120	149	85	85
ASV290	129	166	158	150	142	113	107	53	100
ASV291	0	0	0	0	0	0	0	0	0
ASV292	0	0	6	6	5	3	5	9	0
ASV293	0	0	0	0	0	0	0	0	0
ASV294	26	27	10	0	23	27	17	18	14
ASV295	0	0	0	0	0	0	0	0	0
ASV296	0	0	0	0	14	0	23	45	23
ASV297	0	0	0	0	0	0	0	0	0
ASV298	0	0	0	0	0	0	0	0	0
ASV299	111	154	110	105	193	102	87	119	85
ASV300	72	142	138	132	202	107	74	112	86
ASV301	62	71	0	0	199	84	71	132	153
ASV302	0	0	0	0	0	0	0	0	0
ASV303	149	143	94	99	121	119	114	119	95
ASV304	117	103	85	130	140	153	113	107	104
ASV305	0	0	0	0	9	0	0	17	14
ASV307	0	0	0	0	0	0	0	0	0
ASV306	0	0	0	0	0	0	0	0	0
ASV308	0	0	0	0	0	0	0	0	0
ASV309	0	0	0	0	0	0	0	0	0
ASV310	115	134	54	28	99	145	91	143	72
ASV311	0	0	0	0	0	0	0	0	0
ASV312	0	0	0	0	0	0	0	0	0
ASV313	63	23	104	0	0	0	163	0	34
ASV315	0	0	0	0	0	0	0	0	0
ASV316	0	0	0	0	0	0	0	0	0
ASV317	0	0	0	0	0	0	0	0	0
ASV318	0	0	0	0	0	0	0	0	0
ASV319	0	0	0	0	0	0	0	0	0
ASV320	0	0	0	0	0	0	0	0	0
ASV322	0	0	0	0	0	0	0	0	0
ASV321	45	41	255	415	30	33	70	64	58
ASV323	8	0	13	0	0	14	10	0	0
ASV324	12	17	14	0	0	8	0	0	0
ASV325	145	136	85	117	93	126	95	111	98
ASV326	0	0	0	0	0	0	0	0	0
ASV327	0	0	0	0	0	0	0	0	0
ASV328	0	0	0	0	0	0	0	0	0
ASV329	227	98	60	52	79	55	213	42	161
ASV331	0	0	0	0	0	0	0	0	0
ASV332	83	92	159	117	108	111	114	102	92
ASV333	0	0	0	0	0	0	0	0	0
ASV334	0	15	8	10	0	0	0	25	31
ASV335	0	0	0	0	0	0	0	0	0
ASV336	0	0	0	0	0	0	0	0	0
ASV337	115	109	63	137	123	118	98	116	88
ASV338	53	59	234	43	120	41	36	241	113
ASV339	0	0	0	0	0	0	0	0	0
ASV340	0	0	0	0	0	0	0	0	0
ASV341	9	0	0	5	0	0	0	10	0
ASV342	81	99	145	139	100	85	116	90	104
ASV344	42	47	39	17	34	52	39	47	32
ASV343	118	114	112	66	102	146	119	89	91
ASV345	0	0	0	0	0	0	0	0	0
ASV347	0	0	0	0	0	0	0	0	0
ASV346	19	23	12	0	27	37	32	42	20
ASV348	0	0	0	0	0	0	0	0	0
ASV349	124	67	48	28	71	35	101	108	72
ASV350	140	129	59	116	56	189	120	35	90
ASV351	0	0	0	0	0	0	0	0	0
ASV352	50	59	89	19	87	30	20	17	121
ASV353	27	15	22	33	0	20	19	26	26
ASV354	0	0	0	0	0	0	0	0	0
ASV356	0	0	0	0	0	0	0	0	0
ASV357	0	0	0	0	0	0	0	0	0
ASV358	84	94	52	98	136	71	77	67	100
ASV359	33	63	83	63	69	49	53	77	52
ASV360	97	131	71	95	117	92	120	111	92
ASV361	0	0	0	0	0	0	0	0	0
ASV362	91	94	71	91	101	140	114	115	104
ASV363	0	0	0	0	0	0	0	0	0
ASV364	57	68	63	24	71	64	97	98	80
ASV366	14	0	14	6	0	0	24	0	18
ASV365	54	105	172	154	85	79	99	95	66
ASV367	113	94	41	66	107	92	71	82	90
ASV368	89	89	137	192	86	41	100	79	94
ASV369	0	0	0	0	0	0	0	0	0
ASV370	104	141	39	39	139	114	96	126	104
ASV371	108	97	49	30	147	132	129	109	97
ASV372	0	0	0	0	0	54	40	0	0
ASV373	87	78	110	198	83	94	110	62	74
ASV374	0	0	0	0	0	0	0	0	0
ASV375	75	90	158	133	136	63	80	83	75
ASV376	97	105	61	42	38	51	65	59	59
ASV377	161	170	61	42	46	164	131	38	76
ASV378	0	0	0	0	0	0	0	0	0
ASV379	0	0	0	0	0	0	0	0	0
ASV380	0	0	0	0	0	0	0	0	0
ASV381	0	0	0	0	0	0	0	0	0
ASV382	107	127	104	55	68	123	146	67	85
ASV383	0	0	0	0	0	0	0	0	0
ASV384	71	83	27	35	184	106	94	30	92
ASV386	0	0	0	0	0	0	0	0	0
ASV385	110	91	94	120	112	107	79	79	83
ASV388	0	0	0	0	25	29	18	0	13
ASV387	67	45	170	105	64	41	137	77	145
ASV389	106	88	139	77	47	129	128	58	97
