row	col	delta
ASV2569	ASV2451	0.42304105
ASV2751	ASV2451	0.494171787
ASV2830	ASV2451	0.954466547
ASV2503	ASV2467	-0.404139871
ASV2549	ASV2467	-0.985170906
ASV2553	ASV2467	-0.285921622
ASV2569	ASV2467	-0.9756671
ASV2618	ASV2467	-0.997747424
ASV2830	ASV2467	-0.43244521
ASV2517	ASV2486	0.671011103
ASV2568	ASV2486	0.862957803
ASV2602	ASV2486	0.875931287
ASV2656	ASV2486	0.987684844
ASV2751	ASV2486	0.598534726
ASV2517	ASV2503	0.429059777
ASV2553	ASV2503	1.003940824
ASV2618	ASV2503	0.440287932
ASV2656	ASV2503	0.811722662
ASV2696	ASV2503	0.333957399
ASV2701	ASV2503	0.983938099
ASV2702	ASV2503	1.003404283
ASV2549	ASV2505	0.671397823
ASV2569	ASV2505	0.473608906
ASV2618	ASV2505	0.570106256
ASV2830	ASV2505	0.936288222
ASV2656	ASV2517	-0.385492143
ASV2696	ASV2517	-0.95068318
ASV2701	ASV2517	-0.363795668
ASV2702	ASV2517	-0.55506225
ASV2722	ASV2549	-0.624751359
ASV2696	ASV2553	0.938704686
ASV2656	ASV2568	-0.548462098
ASV2702	ASV2568	-0.822168551
ASV2702	ASV2569	-0.526120846
ASV2830	ASV2569	-0.302954485
ASV2656	ASV2602	-0.551041948
ASV2702	ASV2602	-0.82039252
ASV2656	ASV2618	-0.527919651
ASV2702	ASV2618	-0.450861785
ASV2722	ASV2618	-0.295447999
ASV2830	ASV2618	-0.641895254
ASV2722	ASV2656	0.909742215
ASV2751	ASV2656	0.703917469
ASV2830	ASV2696	-0.62200826
